Compartment,MP_form,SizeFrac,advection,biofilm,breakup,burial,defouling,degradation,fragmentation,heteroagg,mixing,resusp,rising,sedTransport,settling
Flowing Water,Biof&Heteroagg,0.1 um,0.0,3.858024691358025e-07,9.112375494443875e-06,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.0,0.0,4.5331214552899405e-06
Flowing Water,Biof&Heteroagg,1 um,0.0,3.858024691358025e-07,8.280472842810684e-06,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.0,0.0,5.372450316869054e-06
Flowing Water,Biof&Heteroagg,10 um,0.0,3.858024691358025e-07,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.0,0.0,1.5447213032147078e-05
Flowing Water,Biof&Heteroagg,100 um,0.0,3.858024691358025e-07,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.0,0.0,0.00011504173136471502
Flowing Water,Biof&Heteroagg,1000 um,0.0,3.858024691358025e-07,5.5599999999999996e-05,0.0,0.0,8.022536812036404e-11,0.0,0.0,1e-09,0.0,0.000556,0.0,0.0
Flowing Water,Biofouled,0.1 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,3.2090147248145615e-10,1.6013444951801118e-10,9.112375494443874e-05,1e-09,0.0,0.0,0.0,4.531892141092731e-06
Flowing Water,Biofouled,1 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,3.2090147248145615e-10,1.7440385591070525e-10,8.280472842810684e-05,1e-09,0.0,0.0,0.0,5.371321442062357e-06
Flowing Water,Biofouled,10 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,3.2090147248145615e-10,3.170979198376459e-10,0.000556,1e-09,0.0,0.0,0.0,1.5446580106848128e-05
Flowing Water,Biofouled,100 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,3.2090147248145615e-10,1.744038559107052e-09,0.000556,1e-09,0.0,0.0,0.0,0.00011504160526077768
Flowing Water,Biofouled,1000 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,3.2090147248145615e-10,1.6013444951801118e-08,0.000556,1e-09,0.0,0.000556,0.0,0.0
Flowing Water,Heteroaggregate,0.1 um,0.0,3.858024691358025e-07,4.556187747221937e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,0.0,0.0,2.8455384146386956e-08
Flowing Water,Heteroaggregate,1 um,0.0,3.858024691358025e-07,4.140236421405342e-06,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,0.0,0.0,1.1746787476476293e-08
Flowing Water,Heteroaggregate,10 um,0.0,3.858024691358025e-07,0.00047856632842167065,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,2.0360785722731793e-07,0.0,0.0
Flowing Water,Heteroaggregate,100 um,0.0,3.858024691358025e-07,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,2.0504166346183883e-05,0.0,0.0
Flowing Water,Heteroaggregate,1000 um,0.0,3.858024691358025e-07,5.5599999999999996e-05,0.0,0.0,1.6045073624072808e-10,0.0,0.0,1e-09,0.0,0.000556,0.0,0.0
Flowing Water,Pristine,0.1 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764588e-12,4.556187747221937e-05,1e-09,0.0,2.050430987634709e-11,0.0,0.0
Flowing Water,Pristine,1 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-11,4.140236421405342e-05,1e-09,0.0,2.0504309876347093e-09,0.0,0.0
Flowing Water,Pristine,10 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.170979198376459e-10,0.000556,1e-09,0.0,2.0504309876347087e-07,0.0,0.0
Flowing Water,Pristine,100 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-09,0.000556,1e-09,0.0,2.0504309876347088e-05,0.0,0.0
Flowing Water,Pristine,1000 um,0.0,3.858024691358025e-07,0.0,0.0,0.0,1.6045073624072808e-09,3.1709791983764586e-08,0.000556,1e-09,0.0,0.000556,0.0,0.0
Sediment,Biof&Heteroagg,0.1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biof&Heteroagg,1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biof&Heteroagg,10 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biof&Heteroagg,100 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biof&Heteroagg,1000 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,8.022536812036404e-11,0.0,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biofouled,0.1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,3.2090147248145615e-10,1.6013444951801118e-10,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
Sediment,Biofouled,1 um,0.0,0.0,0.0,2.7999999999999996e-05,0.0,3.2090147248145615e-10,1.7440385591070525e-10,0.0,0.0,1.1499999999999998e-05,0.0,9.999999999999998e-08,0.0
