,Timepoint (days),Surface Water (%),Flowing Water (%),Stagnant Water (%),Sediment (%)
0,0,0.0,0.0,0.0,0.0
1,1,97.28,2.15,0.08,0.49
2,2,96.95,2.05,0.13,0.87
3,3,96.17,2.6,0.18,1.05
4,4,95.28,3.35,0.23,1.14
5,5,94.3,4.24,0.29,1.18
6,6,93.22,5.24,0.35,1.19
7,7,92.01,6.38,0.41,1.2
8,8,90.61,7.7,0.49,1.21
9,9,88.98,9.23,0.57,1.21
10,10,87.13,10.99,0.66,1.22
11,11,85.09,12.93,0.76,1.21
12,12,82.94,14.99,0.86,1.2
13,13,80.74,17.1,0.96,1.19
14,14,78.58,19.19,1.06,1.17
15,15,76.49,21.22,1.14,1.15
16,16,74.5,23.15,1.22,1.13
17,17,72.62,24.98,1.29,1.11
18,18,70.84,26.71,1.36,1.09
19,19,69.16,28.35,1.42,1.07
20,20,67.58,29.89,1.48,1.05
21,21,66.08,31.35,1.54,1.03
22,22,64.66,32.74,1.59,1.02
23,23,63.31,34.05,1.64,1.0
24,24,62.03,35.3,1.69,0.99
25,25,60.81,36.48,1.74,0.97
26,26,59.65,37.6,1.79,0.96
27,27,58.54,38.67,1.84,0.95
28,28,57.49,39.7,1.88,0.94
29,29,56.48,40.67,1.93,0.92
30,30,55.51,41.6,1.98,0.91
31,31,54.59,42.48,2.02,0.9
32,32,53.71,43.33,2.07,0.89
33,33,52.86,44.14,2.11,0.88
34,34,52.05,44.92,2.16,0.88
35,35,51.26,45.67,2.2,0.87
36,36,50.51,46.38,2.25,0.86
37,37,49.79,47.06,2.29,0.85
38,38,49.1,47.72,2.34,0.84
39,39,48.43,48.35,2.38,0.84
40,40,47.78,48.96,2.43,0.83
41,41,47.16,49.55,2.47,0.82
42,42,46.56,50.11,2.52,0.82
43,43,45.98,50.65,2.56,0.81
44,44,45.42,51.17,2.61,0.8
45,45,44.88,51.67,2.65,0.8
46,46,44.36,52.16,2.7,0.79
47,47,43.85,52.62,2.74,0.79
48,48,43.36,53.07,2.79,0.78
49,49,42.88,53.51,2.83,0.78
50,50,42.42,53.93,2.88,0.77
51,51,41.98,54.33,2.92,0.77
52,52,41.55,54.72,2.97,0.76
53,53,41.13,55.1,3.01,0.76
54,54,40.72,55.47,3.06,0.75
55,55,40.32,55.82,3.1,0.75
