,Timepoint (days),Free (%),Heteroaggregated (%),Biofiolm-covered (%),Biofilm-heteroaggregated (%)
0,0,0.0,0.0,0.0,0.0
1,1,14.12,84.24,0.04,1.6
2,2,15.34,82.59,0.04,2.02
3,3,16.97,80.75,0.05,2.23
4,4,18.49,79.08,0.05,2.37
5,5,19.84,77.62,0.06,2.48
6,6,20.99,76.37,0.06,2.57
7,7,21.95,75.32,0.07,2.66
8,8,22.73,74.45,0.07,2.75
9,9,23.36,73.74,0.07,2.83
10,10,23.86,73.16,0.07,2.9
11,11,24.28,72.7,0.07,2.95
12,12,24.63,72.33,0.07,2.97
13,13,24.95,72.01,0.07,2.97
14,14,25.23,71.75,0.07,2.95
15,15,25.48,71.52,0.07,2.93
16,16,25.71,71.32,0.07,2.9
17,17,25.92,71.15,0.07,2.87
18,18,26.11,70.99,0.07,2.84
19,19,26.28,70.84,0.07,2.81
20,20,26.44,70.71,0.07,2.78
21,21,26.58,70.6,0.07,2.76
22,22,26.71,70.49,0.07,2.73
23,23,26.82,70.4,0.06,2.71
24,24,26.93,70.32,0.06,2.69
25,25,27.02,70.25,0.06,2.67
26,26,27.1,70.18,0.06,2.65
27,27,27.18,70.12,0.06,2.64
28,28,27.25,70.07,0.06,2.62
29,29,27.31,70.03,0.06,2.6
30,30,27.36,69.99,0.06,2.59
31,31,27.41,69.96,0.06,2.58
32,32,27.45,69.93,0.06,2.56
33,33,27.48,69.91,0.06,2.55
34,34,27.51,69.89,0.06,2.54
35,35,27.53,69.87,0.06,2.53
36,36,27.56,69.86,0.06,2.52
37,37,27.57,69.86,0.06,2.51
38,38,27.58,69.85,0.06,2.5
39,39,27.59,69.85,0.06,2.5
40,40,27.6,69.86,0.06,2.49
41,41,27.6,69.86,0.06,2.48
42,42,27.6,69.87,0.06,2.47
43,43,27.6,69.88,0.06,2.47
44,44,27.59,69.89,0.06,2.46
45,45,27.59,69.9,0.06,2.45
46,46,27.58,69.92,0.06,2.45
47,47,27.57,69.94,0.06,2.44
48,48,27.55,69.95,0.06,2.44
49,49,27.54,69.97,0.06,2.43
50,50,27.52,70.0,0.06,2.43
51,51,27.5,70.02,0.06,2.42
52,52,27.48,70.04,0.06,2.42
53,53,27.46,70.07,0.06,2.42
54,54,27.44,70.09,0.06,2.41
55,55,27.42,70.12,0.06,2.41
56,56,27.39,70.15,0.06,2.4
57,57,27.37,70.18,0.06,2.4
58,58,27.34,70.21,0.05,2.4
59,59,27.31,70.24,0.05,2.4
60,60,27.29,70.27,0.05,2.39
61,61,27.26,70.3,0.05,2.39
62,62,27.23,70.33,0.05,2.39
63,63,27.2,70.36,0.05,2.38
64,64,27.17,70.4,0.05,2.38
65,65,27.14,70.43,0.05,2.38
66,66,27.11,70.46,0.05,2.38
67,67,27.07,70.5,0.05,2.38
68,68,27.04,70.53,0.05,2.37
69,69,27.01,70.56,0.05,2.37
70,70,26.98,70.6,0.05,2.37
71,71,26.94,70.63,0.05,2.37
72,72,26.91,70.67,0.05,2.37
73,73,26.88,70.7,0.05,2.37
74,74,26.84,70.74,0.05,2.36
75,75,26.81,70.77,0.05,2.36
76,76,26.78,70.81,0.05,2.36
77,77,26.74,70.84,0.05,2.36
78,78,26.71,70.88,0.05,2.36
79,79,26.67,70.91,0.05,2.36
80,80,26.64,70.95,0.05,2.36
81,81,26.61,70.99,0.05,2.36
82,82,26.57,71.02,0.05,2.36
83,83,26.54,71.06,0.05,2.35
84,84,26.5,71.09,0.05,2.35
85,85,26.47,71.13,0.05,2.35
86,86,26.43,71.16,0.05,2.35
87,87,26.4,71.2,0.05,2.35
88,88,26.37,71.23,0.05,2.35
89,89,26.33,71.27,0.05,2.35
90,90,26.3,71.3,0.05,2.35
91,91,26.26,71.34,0.05,2.35
92,92,26.23,71.37,0.05,2.35
93,93,26.2,71.41,0.05,2.35
94,94,26.16,71.44,0.05,2.35
95,95,26.13,71.47,0.05,2.35
96,96,26.1,71.51,0.05,2.34
97,97,26.06,71.54,0.05,2.34
98,98,26.03,71.58,0.05,2.34
99,99,26.0,71.61,0.05,2.34
100,100,25.96,71.64,0.05,2.34
101,101,25.93,71.68,0.05,2.34
102,102,25.9,71.71,0.05,2.34
103,103,25.87,71.74,0.05,2.34
104,104,25.83,71.77,0.05,2.34
105,105,25.8,71.81,0.05,2.34
106,106,25.77,71.84,0.05,2.34
107,107,25.74,71.87,0.05,2.34
108,108,25.71,71.9,0.05,2.34
109,109,25.68,71.93,0.05,2.34
110,110,25.64,71.97,0.05,2.34
111,111,25.61,72.0,0.05,2.34
112,112,25.58,72.03,0.05,2.34
113,113,25.55,72.06,0.05,2.34
114,114,25.52,72.09,0.05,2.34
115,115,25.49,72.12,0.05,2.34
116,116,25.46,72.15,0.05,2.34
117,117,25.43,72.18,0.05,2.34
118,118,25.4,72.21,0.05,2.34
119,119,25.37,72.24,0.05,2.34
120,120,25.35,72.27,0.05,2.34
121,121,25.32,72.3,0.05,2.34
122,122,25.29,72.33,0.05,2.34
123,123,25.26,72.36,0.05,2.34
124,124,25.23,72.38,0.05,2.33
125,125,25.2,72.41,0.05,2.33
126,126,25.18,72.44,0.05,2.33
127,127,25.15,72.47,0.05,2.33
128,128,25.12,72.5,0.05,2.33
129,129,25.09,72.52,0.05,2.33
130,130,25.07,72.55,0.05,2.33
131,131,25.04,72.58,0.05,2.33
132,132,25.01,72.6,0.05,2.33
133,133,24.99,72.63,0.05,2.33
134,134,24.96,72.66,0.05,2.33
135,135,24.94,72.68,0.05,2.33
136,136,24.91,72.71,0.05,2.33
137,137,24.89,72.73,0.05,2.33
138,138,24.86,72.76,0.05,2.33
139,139,24.84,72.78,0.05,2.33
140,140,24.81,72.81,0.05,2.33
141,141,24.79,72.83,0.05,2.33
142,142,24.76,72.86,0.05,2.33
143,143,24.74,72.88,0.05,2.33
144,144,24.71,72.91,0.05,2.33
145,145,24.69,72.93,0.05,2.33
146,146,24.67,72.96,0.05,2.33
147,147,24.64,72.98,0.05,2.33
148,148,24.62,73.0,0.05,2.33
149,149,24.6,73.02,0.05,2.33
150,150,24.57,73.05,0.05,2.33
151,151,24.55,73.07,0.05,2.33
152,152,24.53,73.09,0.05,2.33
153,153,24.51,73.12,0.05,2.33
154,154,24.49,73.14,0.05,2.33
155,155,24.46,73.16,0.05,2.33
156,156,24.44,73.18,0.05,2.33
157,157,24.42,73.2,0.05,2.33
158,158,24.4,73.22,0.05,2.33
159,159,24.38,73.24,0.05,2.33
160,160,24.36,73.27,0.05,2.33
161,161,24.34,73.29,0.05,2.33
162,162,24.32,73.31,0.05,2.33
163,163,24.3,73.33,0.05,2.33
164,164,24.28,73.35,0.05,2.33
165,165,24.26,73.37,0.05,2.33
166,166,24.24,73.39,0.05,2.33
167,167,24.22,73.41,0.05,2.33
168,168,24.2,73.43,0.05,2.33
169,169,24.18,73.45,0.05,2.33
170,170,24.16,73.46,0.05,2.33
171,171,24.14,73.48,0.05,2.32
172,172,24.13,73.5,0.05,2.32
173,173,24.11,73.52,0.05,2.32
174,174,24.09,73.54,0.05,2.32
175,175,24.07,73.56,0.05,2.32
176,176,24.05,73.58,0.05,2.32
177,177,24.04,73.59,0.05,2.32
178,178,24.02,73.61,0.05,2.32
179,179,24.0,73.63,0.05,2.32
180,180,23.98,73.65,0.05,2.32
181,181,23.97,73.66,0.05,2.32
182,182,23.95,73.68,0.05,2.32
183,183,23.93,73.7,0.05,2.32
184,184,23.92,73.71,0.05,2.32
185,185,23.9,73.73,0.05,2.32
186,186,23.88,73.75,0.05,2.32
187,187,23.87,73.76,0.05,2.32
188,188,23.85,73.78,0.05,2.32
189,189,23.84,73.8,0.05,2.32
190,190,23.82,73.81,0.05,2.32
191,191,23.81,73.83,0.05,2.32
192,192,23.79,73.84,0.05,2.32
193,193,23.78,73.86,0.05,2.32
194,194,23.76,73.87,0.05,2.32
195,195,23.75,73.89,0.05,2.32
196,196,23.73,73.9,0.05,2.32
197,197,23.72,73.92,0.05,2.32
198,198,23.7,73.93,0.05,2.32
199,199,23.69,73.95,0.05,2.32
200,200,23.67,73.96,0.05,2.32
201,201,23.66,73.97,0.05,2.32
202,202,23.65,73.99,0.05,2.32
203,203,23.63,74.0,0.05,2.32
204,204,23.62,74.02,0.05,2.32
205,205,23.61,74.03,0.05,2.32
206,206,23.59,74.04,0.05,2.32
207,207,23.58,74.06,0.05,2.32
208,208,23.57,74.07,0.05,2.32
209,209,23.55,74.08,0.05,2.32
210,210,23.54,74.1,0.05,2.32
211,211,23.53,74.11,0.05,2.32
212,212,23.52,74.12,0.05,2.32
213,213,23.5,74.13,0.05,2.32
214,214,23.49,74.15,0.05,2.32
215,215,23.48,74.16,0.05,2.31
216,216,23.47,74.17,0.05,2.31
217,217,23.46,74.18,0.05,2.31
218,218,23.44,74.2,0.05,2.31
219,219,23.43,74.21,0.05,2.31
220,220,23.42,74.22,0.05,2.31
221,221,23.41,74.23,0.05,2.31
222,222,23.4,74.24,0.05,2.31
223,223,23.39,74.25,0.05,2.31
224,224,23.38,74.26,0.05,2.31
225,225,23.36,74.28,0.05,2.31
226,226,23.35,74.29,0.05,2.31
227,227,23.34,74.3,0.05,2.31
228,228,23.33,74.31,0.05,2.31
229,229,23.32,74.32,0.05,2.31
230,230,23.31,74.33,0.05,2.31
231,231,23.3,74.34,0.05,2.31
232,232,23.29,74.35,0.05,2.31
233,233,23.28,74.36,0.05,2.31
234,234,23.27,74.37,0.05,2.31
235,235,23.26,74.38,0.05,2.31
236,236,23.25,74.39,0.05,2.31
237,237,23.24,74.4,0.05,2.31
238,238,23.23,74.41,0.05,2.31
239,239,23.22,74.42,0.05,2.31
240,240,23.21,74.43,0.05,2.31
241,241,23.2,74.44,0.05,2.31
242,242,23.2,74.45,0.05,2.31
243,243,23.19,74.46,0.05,2.31
244,244,23.18,74.47,0.05,2.31
245,245,23.17,74.48,0.05,2.31
246,246,23.16,74.49,0.05,2.31
247,247,23.15,74.5,0.05,2.31
